Setup ok
{.time=6056, .id=0x10, .len=1, .data={0xF0}},
{.time=6074, .id=0x350, .len=1, .data={0x40}},
{.time=6076, .id=0x10, .len=1, .data={0xF0}},
{.time=6094, .id=0x350, .len=1, .data={0x40}},
{.time=6097, .id=0x10, .len=1, .data={0xF0}},
{.time=6114, .id=0x350, .len=1, .data={0x40}},
{.time=6116, .id=0x10, .len=1, .data={0xF0}},
{.time=6133, .id=0x350, .len=1, .data={0x40}},
{.time=6136, .id=0x10, .len=1, .data={0xF0}},
{.time=6155, .id=0x350, .len=1, .data={0x40}},
{.time=6158, .id=0x10, .len=1, .data={0xF0}},
{.time=6174, .id=0x350, .len=1, .data={0x40}},
{.time=6176, .id=0x10, .len=1, .data={0xF0}},
{.time=6196, .id=0x350, .len=1, .data={0x40}},
{.time=6197, .id=0x10, .len=1, .data={0xF0}},
{.time=6214, .id=0x350, .len=1, .data={0x40}},
{.time=6216, .id=0x10, .len=1, .data={0xF0}},
{.time=6234, .id=0x350, .len=1, .data={0x40}},
{.time=6236, .id=0x10, .len=1, .data={0xF0}},
{.time=6254, .id=0x350, .len=1, .data={0x40}},
{.time=6256, .id=0x10, .len=1, .data={0xF0}},
{.time=6274, .id=0x350, .len=1, .data={0x40}},
{.time=6278, .id=0x10, .len=1, .data={0xF0}},
{.time=6294, .id=0x350, .len=1, .data={0x40}},
{.time=6297, .id=0x10, .len=1, .data={0xF0}},
{.time=6313, .id=0x350, .len=1, .data={0x40}},
{.time=6316, .id=0x10, .len=1, .data={0xF0}},
{.time=6334, .id=0x350, .len=1, .data={0x40}},
{.time=6336, .id=0x10, .len=1, .data={0xF0}},
{.time=6353, .id=0x350, .len=1, .data={0x40}},
{.time=6355, .id=0x10, .len=1, .data={0xF0}},
{.time=6375, .id=0x350, .len=1, .data={0x40}},
{.time=6376, .id=0x10, .len=1, .data={0xF0}},
{.time=6394, .id=0x350, .len=1, .data={0x40}},
{.time=6396, .id=0x10, .len=1, .data={0xF0}},
{.time=6414, .id=0x350, .len=1, .data={0x40}},
{.time=6416, .id=0x10, .len=1, .data={0xF0}},
{.time=6433, .id=0x350, .len=1, .data={0x40}},
{.time=6435, .id=0x10, .len=1, .data={0xF0}},
{.time=6454, .id=0x350, .len=1, .data={0x40}},
{.time=6456, .id=0x10, .len=1, .data={0xF0}},
{.time=6473, .id=0x350, .len=1, .data={0x40}},
{.time=6475, .id=0x10, .len=1, .data={0xF0}},
{.time=6495, .id=0x350, .len=1, .data={0x40}},
{.time=6497, .id=0x10, .len=1, .data={0xF0}},
{.time=6513, .id=0x350, .len=1, .data={0x40}},
{.time=6515, .id=0x10, .len=1, .data={0xF0}},
{.time=6534, .id=0x350, .len=1, .data={0x40}},
{.time=6536, .id=0x10, .len=1, .data={0xF0}},
{.time=6555, .id=0x350, .len=1, .data={0x40}},
{.time=6556, .id=0x10, .len=1, .data={0xF0}},
